Category,Company Name,Region,name,Street Address,City,State,Zip,Mobile Number,Website Address,Email,Reviews Average,Count Of Review
Community centre,Bridge Chapel,Liverpool,Heath Rd  Liverpool L19 4XR,Heath RdLiverpool L19 4XR,Heath Rd,LiverpoolL19,4,0151 281 9716,bridgechapel.co.uk,admin@bridgechapel.co.uk,4.5,246
Charity,Liverpool Homeless Football Club,Liverpool,151 Dale St  Liverpool L2 2AH,151 Dale StLiverpool L2 2AH,151 Dale St,LiverpoolL2,2,0151 237 3986,liverpoolhomelessfootballclub.com,sso@liverpoolhomelessfootballclub.com,5,3
Church,Linacre Methodist Mission,Liverpool,Linacre Rd  Litherland  Bootle   L21 8NS,Linacre RdLitherland,Bootle,LiverpoolL21,8,0151 922 2836,linacre.org.uk,webmaster@linacre.ox.ac.uk,4.8,16
Charity,The Trussell Trust Food Bank,Liverpool,52 Great Georges Rd  Waterloo   L22 1RD,52 Great Georges RdWaterloo,Waterloo,LiverpoolL22,1,07580 156311,trusselltrust.org,reg_with_fund_reg@2x.png,,
Charity,FareShare Merseyside,Liverpool,9  Goodlass Rd  Speke   L24 9HJ,9Goodlass Rd,Speke,LiverpoolL24,9,0151 486 1139,fareshare.org.uk,popper.js@1.16.0,4.8,17
Baptist church,Speke Baptist Church at the Noah's Ark Centre,Liverpool, 50 Ganworth Rd  Speke   L24 2SA,Noahs Ark Center50 Ganworth Rd,Speke,LiverpoolL24,2,0151 475 1468,spekebaptistchurch.org.uk,speke-baptist@hotmail.co.uk,4.3,24
Association or organisation,Netherley Youth and Community Initiative,Liverpool,41 Damson Rd  Liverpool L27 8XR,41 Damson RdLiverpool L27 8XR,41 Damson Rd,LiverpoolL27,8,0151 487 6421,nyci.co.uk,sharon@nyci.co.uk,4.7,15
Charity,The Whitechapel Centre,Liverpool,Langsdale St  Liverpool L3 8DT,Langsdale StLiverpool L3 8DT,Langsdale St,LiverpoolL3,8,0151 207 7617,whitechapelcentre.co.uk,info@whitechapelcentre.co.uk,4.6,76
Non-profit organisation,The Salvation Army,Liverpool, Fraser St  Liverpool L3 8JX,Ann Fowler HostelFraser St,Fraser St,LiverpoolL3,8,0151 207 3815,salvationarmy.org.uk,douglas@salvationarmy.org.uk.Privacy,4.3,6
Charity,The Trussell Trust Food Bank,Liverpool,22 Damfield Lane  Liverpool L31 3DD,22 Damfield LnLiverpool L31 3DD,22 Damfield Ln,LiverpoolL31,3,07914 636246,trusselltrust.org,reg_with_fund_reg@2x.png,,
Church,Maghull Methodist Church,Liverpool,180 Liverpool Rd N  Maghull  Liverpool L31 2HP,180 Liverpool Rd NMaghull,Maghull,LiverpoolL31,2,0151 306 5134,mclnc.co.uk,luke.smith@methodist.org.uk,4.7,13
Charity,The Trussell Trust Food Bank,Liverpool,Deycroft Ave  Liverpool L32 9WX,Deycroft AveLiverpool L32 9WX,Deycroft Ave,LiverpoolL32,9,0151 546 0470,trusselltrust.org,reg_with_fund_reg@2x.png,,
Full Gospel church,Holy Trinity Church,Liverpool,Breck Rd  Liverpool L4 2RB,Breck RdLiverpool L4 2RB,Breck Rd,LiverpoolL4,2,0151 264 8006,christchurchwb.org.uk,waltonbreck@outlook.com,3.3,4
Methodist church,County Methodist Church,Liverpool,Harlech St  Liverpool L4 3RJ,Harlech StLiverpool L4 3RJ,Harlech St,LiverpoolL4,3,0151 525 2484,countymethodistchurch.org.uk,webadmin@lmrs.org.uk.County,4.7,7
Church,Christ Church,Liverpool,157 Hartnup St  Liverpool L5 1UW,157 Hartnup StLiverpool L5 1UW,157 Hartnup St,LiverpoolL5,1,0151 264 8006,christchurchwb.org.uk,waltonbreck@outlook.com,4,4
Council,WEST EVERTON COMMUNITY COUNCIL,Liverpool,  Bute St  Liverpool L5 3LA,or Everton Brow entranceBute St,Bute St,LiverpoolL5,3,0151 282 0303,westevertoncc.co.uk,clubliaison@spiritofshankly.com.November,5,1
Church,St. George%u2019s Everton,Liverpool,Heyworth St  Everton  Liverpool L5 3QG,Heyworth StEverton,Everton,LiverpoolL5,3,0151 263 6005,stgeorgeseverton.com,info@yourlocalpantry.co.uk,4.4,26
Church,All Saints church Liverpool,Liverpool,55 Sheil Rd  Kensington  Liverpool L6 3AD,55 Sheil RdKensington,Kensington,LiverpoolL6,3,0151 345 3208,allsaintsliverpool.org,info@allsiantliverpool.org,4.5,29
Methodist church,Kensington Methodist Church,Liverpool,294 Kensington  Liverpool L7 2RN,294 KensingtonLiverpool L7 2RN,294 Kensington,LiverpoolL7,2,07709 905000,kensingtonmethodistchurch.org.uk,minister@kensingtonmethodistchurch.org.uk.Notting,4.4,5
Anglican church,St Bride's Church Liverpool,Liverpool,Percy St  Liverpool L8 7LT,Percy StLiverpool L8 7LT,Percy St,LiverpoolL8,7,07804 030006,stbridesliverpool.org.uk,annie@faiths4change.org.uk,4.6,35
Anglican church,St Gabriel's C of E Church  Toxteth,Liverpool,Yates St  Toxteth  Liverpool L8 6RD,Yates StToxteth,Toxteth,LiverpoolL8,6,0151 727 0633,gabbies.org.uk,info@downs-syndrome.org.uk,4.7,12
Non-profit organisation,The Salvation Army,Liverpool,Cavendish Dr  Liverpool L9 1NB,Cavendish DrLiverpool L9 1NB,Cavendish Dr,LiverpoolL9,1,0151 525 4785,salvationarmy.org.uk,douglas@salvationarmy.org.uk.Privacy,4.6,27
